machine_id,maker,shift,avg_vibration,avg_temp_c,throughput_units,prior_defect_rate,machine_age_years,high_defect
M-02,Hokuto,night,3.31,63.9,559.5,0.125,4,1
M-07,Brunner,day,3.37,69.0,475.2,0.127,12,0
M-03,Brunner,day,4.69,65.4,421.2,0.123,11,1
M-02,Hokuto,day,2.53,62.7,484.7,0.078,4,1
M-05,Voss,day,3.03,59.5,451.8,0.067,5,1
M-08,Hokuto,night,4.0,59.7,471.9,0.046,4,0
M-08,Hokuto,day,2.66,64.3,475.0,0.084,4,0
M-06,Voss,night,3.63,58.4,496.2,0.062,2,1
M-03,Brunner,night,3.71,61.1,453.7,0.131,11,0
M-02,Hokuto,day,3.28,58.8,456.2,0.062,4,0
M-05,Voss,day,3.7,61.8,519.4,0.066,5,1
M-02,Hokuto,night,2.66,60.5,461.1,0.09,4,1
M-01,Hokuto,night,3.06,58.2,531.4,0.12,6,0
M-02,Hokuto,night,3.41,61.6,564.5,0.082,4,1
M-03,Brunner,day,3.18,65.3,428.3,0.108,11,1
M-07,Brunner,night,4.17,68.1,437.7,0.141,12,1
M-05,Voss,day,2.88,58.6,515.8,0.085,5,0
M-05,Voss,day,2.88,62.7,633.8,0.07,5,1
M-01,Hokuto,day,3.05,58.3,511.4,0.041,6,0
M-08,Hokuto,night,3.68,59.4,495.0,0.085,4,1
M-06,Voss,night,3.35,60.5,500.3,0.101,2,0
M-01,Hokuto,night,3.22,61.1,476.3,0.097,6,1
M-03,Brunner,day,4.32,64.1,445.8,0.104,11,1
M-01,Hokuto,night,2.2,61.4,485.3,0.071,6,1
M-06,Voss,night,3.43,56.9,558.9,0.075,2,1
M-06,Voss,night,3.3,58.3,474.8,0.071,2,0
M-08,Hokuto,night,3.99,61.8,544.8,0.095,4,1
M-07,Brunner,day,4.12,70.8,465.8,0.134,12,1
M-07,Brunner,night,4.2,64.0,458.5,0.113,12,0
M-05,Voss,night,3.04,56.8,436.2,0.093,5,0
M-06,Voss,day,2.46,61.9,513.3,0.1,2,0
M-03,Brunner,night,4.35,61.0,434.4,0.11,11,1
M-08,Hokuto,night,3.19,63.1,541.1,0.119,4,1
M-08,Hokuto,day,3.25,62.5,575.2,0.058,4,1
M-03,Brunner,day,4.11,62.4,411.8,0.102,11,0
M-05,Voss,day,3.24,58.7,469.5,0.058,5,0
M-05,Voss,night,3.24,62.5,601.9,0.119,5,1
M-08,Hokuto,day,2.74,61.8,471.4,0.045,4,1
M-04,Brunner,day,2.35,56.5,437.1,0.066,3,1
M-07,Brunner,day,2.98,67.7,401.5,0.087,12,1
M-07,Brunner,night,4.87,68.7,468.5,0.088,12,0
M-07,Brunner,night,3.5,63.4,495.1,0.119,12,0
M-07,Brunner,night,3.92,65.3,416.9,0.099,12,1
M-02,Hokuto,day,4.29,63.0,447.5,0.087,4,0
M-08,Hokuto,day,4.63,63.0,452.8,0.071,4,1
M-03,Brunner,night,3.85,60.5,497.0,0.139,11,0
M-01,Hokuto,day,3.79,64.0,441.2,0.053,6,1
M-04,Brunner,night,3.51,59.7,546.9,0.059,3,0
M-06,Voss,night,2.91,62.6,529.8,0.09,2,0
M-01,Hokuto,night,4.06,62.5,538.1,0.065,6,0
M-06,Voss,day,2.1,57.3,569.1,0.035,2,0
M-06,Voss,day,1.74,60.7,503.1,0.035,2,1
M-04,Brunner,day,3.18,59.8,533.4,0.061,3,0
M-04,Brunner,night,3.29,60.5,566.6,0.113,3,1
M-05,Voss,day,3.39,59.6,477.9,0.094,5,0
M-05,Voss,day,3.28,58.3,412.3,0.016,5,0
M-03,Brunner,day,3.3,60.3,434.0,0.126,11,1
M-03,Brunner,night,4.53,60.2,501.1,0.142,11,0
M-04,Brunner,night,3.82,59.6,524.1,0.074,3,0
M-02,Hokuto,day,4.4,58.8,439.1,0.053,4,1
M-03,Brunner,night,3.8,64.1,526.9,0.134,11,1
M-05,Voss,night,2.53,56.1,544.9,0.046,5,1
M-03,Brunner,day,3.11,64.1,403.7,0.071,11,0
M-05,Voss,day,3.59,53.9,441.0,0.077,5,0
M-05,Voss,day,3.3,55.8,474.5,0.051,5,1
M-07,Brunner,night,4.49,63.8,463.1,0.127,12,0
M-01,Hokuto,day,3.4,65.9,553.3,0.055,6,0
M-06,Voss,night,3.27,55.2,503.3,0.07,2,1
M-04,Brunner,night,3.5,59.6,538.6,0.083,3,0
M-08,Hokuto,night,3.88,59.4,420.2,0.089,4,0
M-04,Brunner,day,2.48,56.3,507.4,0.075,3,0
M-03,Brunner,day,4.61,67.2,502.1,0.106,11,0
M-06,Voss,night,3.24,59.9,604.9,0.075,2,1
M-01,Hokuto,day,4.2,64.0,481.7,0.071,6,1
M-02,Hokuto,day,3.26,59.8,506.3,0.077,4,0
M-08,Hokuto,night,3.31,62.9,532.2,0.073,4,0
M-05,Voss,night,3.67,60.7,459.9,0.084,5,0
M-08,Hokuto,night,3.26,59.9,552.1,0.064,4,1
M-01,Hokuto,day,4.0,66.1,433.4,0.082,6,0
M-08,Hokuto,night,3.18,56.4,508.6,0.057,4,0
M-01,Hokuto,night,3.96,68.3,472.0,0.09,6,1
M-03,Brunner,day,4.91,67.2,482.6,0.102,11,1
M-06,Voss,day,3.03,54.4,617.2,0.076,2,1
M-02,Hokuto,day,3.12,60.8,530.4,0.101,4,0
M-04,Brunner,day,3.02,59.2,502.8,0.088,3,0
M-06,Voss,day,3.03,61.4,501.8,0.062,2,1
M-05,Voss,night,3.62,64.9,473.1,0.071,5,0
M-03,Brunner,day,4.06,63.2,485.1,0.095,11,1
M-02,Hokuto,day,2.76,61.9,566.3,0.09,4,1
M-03,Brunner,night,5.19,66.2,444.7,0.078,11,1
M-08,Hokuto,night,3.42,62.4,567.5,0.064,4,0
M-06,Voss,day,3.27,58.8,522.5,0.065,2,0
M-07,Brunner,day,3.75,62.9,439.0,0.138,12,0
M-07,Brunner,night,4.06,64.6,488.7,0.145,12,1
M-08,Hokuto,day,2.4,60.7,471.6,0.054,4,1
M-04,Brunner,night,2.97,57.9,497.7,0.087,3,0
M-08,Hokuto,night,3.92,63.9,497.3,0.114,4,0
M-01,Hokuto,night,4.16,57.9,481.2,0.06,6,1
M-03,Brunner,night,4.47,65.8,463.1,0.131,11,1
M-02,Hokuto,day,3.46,62.1,477.7,0.063,4,1
M-05,Voss,night,2.59,59.6,446.0,0.08,5,0
M-06,Voss,night,4.11,53.9,432.5,0.049,2,1
M-06,Voss,night,3.05,62.7,507.6,0.047,2,1
M-01,Hokuto,day,3.44,58.9,438.4,0.043,6,0
M-01,Hokuto,day,2.94,57.1,558.9,0.068,6,0
M-06,Voss,day,4.1,54.7,560.3,0.057,2,1
M-08,Hokuto,night,2.76,55.7,498.2,0.113,4,1
M-04,Brunner,day,2.56,63.3,508.8,0.095,3,1
M-05,Voss,night,2.64,63.5,523.4,0.122,5,0
M-03,Brunner,night,3.36,64.5,459.0,0.077,11,0
M-04,Brunner,day,2.93,59.1,586.6,0.02,3,0
M-07,Brunner,night,4.77,69.6,444.1,0.125,12,1
M-03,Brunner,night,4.63,64.2,459.9,0.095,11,1
M-03,Brunner,day,4.49,60.2,443.6,0.106,11,0
M-05,Voss,day,3.83,62.1,437.6,0.049,5,1
M-06,Voss,day,3.19,59.8,477.3,0.033,2,1
M-01,Hokuto,day,4.49,63.6,552.1,0.108,6,1
M-04,Brunner,night,3.39,58.5,472.3,0.088,3,0
M-01,Hokuto,day,3.17,57.6,436.8,0.068,6,0
M-05,Voss,night,3.85,62.0,460.1,0.106,5,1
M-07,Brunner,day,3.98,66.4,519.8,0.122,12,0
M-05,Voss,night,3.66,59.6,516.8,0.074,5,1
M-04,Brunner,day,2.46,60.7,515.4,0.07,3,0
M-07,Brunner,day,4.47,62.7,512.9,0.084,12,1
M-05,Voss,night,2.57,64.6,462.8,0.086,5,1
M-06,Voss,night,2.61,61.0,493.2,0.068,2,1
M-08,Hokuto,night,3.99,52.8,495.7,0.103,4,0
M-06,Voss,day,3.5,65.1,479.7,0.061,2,0
M-06,Voss,night,2.75,59.5,508.9,0.088,2,0
M-07,Brunner,day,4.08,60.4,474.2,0.094,12,1
M-05,Voss,day,3.88,59.2,498.7,0.056,5,1
M-04,Brunner,day,3.51,57.8,493.7,0.056,3,0
M-08,Hokuto,night,3.81,64.1,492.4,0.043,4,1
M-06,Voss,day,3.65,57.3,505.4,0.058,2,0
M-08,Hokuto,day,3.17,59.4,461.3,0.036,4,0
M-07,Brunner,day,3.0,58.3,439.0,0.069,12,0
M-07,Brunner,night,3.78,67.1,434.3,0.14,12,1
M-05,Voss,night,2.81,64.4,502.9,0.08,5,0
M-03,Brunner,night,4.02,64.8,476.6,0.087,11,0
M-06,Voss,night,3.31,60.4,530.7,0.063,2,0
M-06,Voss,day,2.7,60.3,544.4,0.066,2,0
M-08,Hokuto,day,3.79,60.5,464.2,0.079,4,0
M-06,Voss,day,2.59,61.4,531.4,0.064,2,1
M-08,Hokuto,night,2.86,63.4,523.0,0.087,4,1
M-07,Brunner,day,4.87,68.4,482.4,0.074,12,1
M-06,Voss,day,3.26,61.6,523.5,0.095,2,1
M-05,Voss,night,3.28,65.5,528.2,0.101,5,0
M-06,Voss,day,3.25,60.2,426.8,0.076,2,0
M-08,Hokuto,night,2.61,61.7,513.4,0.068,4,1
M-05,Voss,day,3.75,62.4,471.6,0.073,5,0
M-04,Brunner,day,3.95,64.7,481.9,0.076,3,1
M-07,Brunner,night,4.64,68.2,543.8,0.166,12,0
M-05,Voss,night,3.27,64.0,518.7,0.063,5,0
M-01,Hokuto,day,3.58,58.8,546.4,0.069,6,0
M-02,Hokuto,day,3.61,59.1,479.6,0.068,4,0
M-01,Hokuto,night,3.93,60.3,450.0,0.112,6,1
M-07,Brunner,day,3.75,69.4,447.7,0.09,12,1
M-05,Voss,night,4.07,58.1,522.8,0.094,5,1
M-07,Brunner,day,3.96,66.4,490.3,0.077,12,1
M-07,Brunner,day,4.61,65.7,442.8,0.083,12,0
M-04,Brunner,night,2.73,60.1,463.7,0.095,3,0
M-07,Brunner,night,5.25,60.9,397.5,0.112,12,0
M-04,Brunner,night,3.76,63.3,531.1,0.075,3,1
M-04,Brunner,day,3.28,60.0,458.1,0.059,3,1
M-04,Brunner,night,2.99,61.1,534.5,0.071,3,1
M-01,Hokuto,day,3.02,68.5,521.2,0.111,6,1
M-07,Brunner,night,4.13,65.5,488.9,0.144,12,0
M-07,Brunner,night,3.88,69.1,416.9,0.139,12,1
M-07,Brunner,day,4.22,61.1,535.9,0.083,12,0
M-08,Hokuto,night,3.28,58.4,565.3,0.109,4,1
M-03,Brunner,day,4.95,63.3,437.8,0.131,11,1
M-08,Hokuto,night,2.83,66.1,558.5,0.087,4,1
M-04,Brunner,night,3.08,62.0,516.8,0.097,3,0
M-05,Voss,night,2.67,56.3,493.3,0.055,5,0
M-01,Hokuto,day,3.62,65.6,445.9,0.043,6,1
M-01,Hokuto,night,3.54,64.9,524.1,0.089,6,1
M-04,Brunner,day,3.14,56.2,513.2,0.067,3,0
M-04,Brunner,night,3.6,61.8,551.3,0.119,3,1
M-06,Voss,night,2.75,55.2,552.0,0.061,2,0
M-05,Voss,night,3.52,56.3,514.0,0.089,5,1
M-06,Voss,day,2.99,58.1,540.3,0.071,2,0
M-07,Brunner,day,4.78,67.9,485.4,0.084,12,1
M-08,Hokuto,day,3.61,61.0,505.8,0.045,4,1
M-05,Voss,night,3.44,59.1,493.6,0.1,5,0
M-03,Brunner,day,4.17,64.4,523.7,0.057,11,1
M-07,Brunner,night,4.2,62.4,467.0,0.1,12,0
M-02,Hokuto,day,2.94,59.8,543.5,0.087,4,0
M-05,Voss,day,2.94,62.5,583.3,0.07,5,0
M-03,Brunner,day,4.19,62.8,453.3,0.102,11,1
M-04,Brunner,night,3.41,51.9,572.5,0.056,3,0
M-05,Voss,night,3.46,61.5,535.8,0.081,5,0
M-07,Brunner,night,4.55,60.2,485.6,0.14,12,1
M-05,Voss,day,3.23,60.0,490.4,0.095,5,0
M-05,Voss,day,3.0,61.7,507.1,0.083,5,1
M-01,Hokuto,night,2.87,70.0,541.3,0.106,6,1
M-05,Voss,day,2.77,63.5,495.0,0.102,5,0
M-07,Brunner,day,3.42,68.2,444.5,0.109,12,1
M-07,Brunner,night,5.09,68.8,437.0,0.15,12,1
M-01,Hokuto,day,3.84,60.9,422.1,0.073,6,1
M-05,Voss,day,2.69,59.5,459.4,0.087,5,0
M-04,Brunner,night,2.44,64.5,605.6,0.107,3,0
M-02,Hokuto,day,2.85,63.0,490.8,0.053,4,0
M-03,Brunner,day,4.79,55.1,480.2,0.099,11,1
M-08,Hokuto,night,2.8,67.2,497.2,0.099,4,1
M-06,Voss,day,3.08,61.9,492.4,0.05,2,0
M-06,Voss,night,2.74,60.6,551.9,0.125,2,1
M-07,Brunner,day,3.94,60.7,520.8,0.088,12,1
M-07,Brunner,day,3.97,62.9,507.4,0.103,12,1
M-02,Hokuto,night,2.53,60.3,483.0,0.112,4,0
M-03,Brunner,day,3.5,62.0,470.8,0.108,11,0
M-05,Voss,night,3.93,61.3,574.2,0.121,5,1
M-08,Hokuto,night,3.23,56.0,516.6,0.062,4,0
M-07,Brunner,day,4.63,63.1,443.8,0.062,12,1
M-05,Voss,day,3.56,61.5,509.3,0.088,5,0
M-05,Voss,day,3.57,60.3,563.0,0.032,5,0
M-01,Hokuto,night,4.61,60.4,422.1,0.096,6,1
M-01,Hokuto,day,3.75,61.5,496.9,0.071,6,1
M-05,Voss,day,2.63,61.1,526.7,0.113,5,0
M-01,Hokuto,day,3.46,63.7,523.7,0.078,6,1
M-02,Hokuto,day,2.59,59.6,482.8,0.057,4,0
M-05,Voss,day,2.8,63.4,464.2,0.087,5,0
M-02,Hokuto,night,3.33,60.7,431.5,0.085,4,1
M-04,Brunner,night,3.92,56.9,575.4,0.07,3,1
M-04,Brunner,day,3.81,60.9,497.8,0.072,3,0
M-04,Brunner,day,3.81,61.7,496.4,0.056,3,0
M-03,Brunner,night,3.79,64.4,520.9,0.112,11,1
M-08,Hokuto,day,4.08,66.8,498.2,0.084,4,1
M-01,Hokuto,day,3.24,62.3,466.0,0.057,6,1
M-06,Voss,night,3.86,58.4,515.0,0.078,2,0
M-01,Hokuto,day,3.79,64.4,532.9,0.107,6,0
M-02,Hokuto,night,2.87,62.8,511.9,0.088,4,0
M-08,Hokuto,night,2.74,62.9,403.5,0.094,4,1
M-08,Hokuto,day,2.73,61.6,545.0,0.077,4,0
M-02,Hokuto,day,2.72,60.3,466.8,0.063,4,0
M-03,Brunner,day,4.26,66.3,523.3,0.069,11,1
M-04,Brunner,night,2.82,52.5,477.0,0.08,3,1
M-07,Brunner,night,3.43,63.4,455.1,0.121,12,1
M-03,Brunner,night,3.37,61.2,498.0,0.107,11,0
M-05,Voss,night,3.53,56.0,628.8,0.091,5,0
M-07,Brunner,day,5.0,65.9,429.5,0.082,12,1
M-07,Brunner,day,3.64,68.2,515.5,0.108,12,0
M-04,Brunner,night,3.77,57.6,550.7,0.085,3,0
M-08,Hokuto,night,3.45,61.9,539.9,0.108,4,1
M-05,Voss,day,3.0,54.9,496.7,0.095,5,0
M-03,Brunner,day,4.26,66.4,494.5,0.084,11,0
M-02,Hokuto,night,2.59,60.1,519.2,0.095,4,0
M-07,Brunner,day,4.82,66.5,522.9,0.081,12,1
M-02,Hokuto,day,3.51,63.4,425.3,0.073,4,1
M-06,Voss,day,3.16,57.1,479.8,0.046,2,0
M-07,Brunner,night,3.65,67.5,476.0,0.141,12,1
M-03,Brunner,day,4.48,58.8,506.9,0.107,11,0
M-05,Voss,day,3.27,65.2,543.1,0.066,5,1
M-04,Brunner,day,2.83,60.2,510.3,0.012,3,0
M-04,Brunner,night,3.72,58.0,521.0,0.116,3,1
M-06,Voss,day,2.98,56.6,500.3,0.063,2,1
M-08,Hokuto,night,3.43,57.3,460.6,0.122,4,0
M-01,Hokuto,day,3.11,56.0,456.1,0.09,6,1
M-04,Brunner,night,3.04,61.0,463.9,0.086,3,0
M-07,Brunner,night,3.58,67.2,479.3,0.079,12,0
M-01,Hokuto,day,3.61,57.7,456.4,0.111,6,1
M-07,Brunner,day,5.11,62.9,419.1,0.122,12,1
M-05,Voss,day,2.61,57.2,542.8,0.06,5,0
M-05,Voss,day,3.48,57.6,475.6,0.062,5,0
M-04,Brunner,night,3.56,61.0,520.7,0.098,3,1
M-01,Hokuto,day,3.34,64.6,453.7,0.09,6,0
M-01,Hokuto,day,3.65,64.0,542.7,0.012,6,0
M-02,Hokuto,night,2.65,60.1,621.8,0.1,4,1
M-01,Hokuto,day,3.6,63.3,467.8,0.089,6,1
